Sleep or Awake report for: C:\Users\Adonay\Desktop\Masters Thesis\GT3X files\yuxiao\agd\TAS1H03200183_2020-06-16___22-48-5160sec.agd
Sleep Algorithm: Cole-Kripke

Date,Time,Axis1,Axis2,Axis3,VM,Steps,HR,Lux,Inclinometer Off,Inclinometer Standing,Inclinometer Sitting,Inclinometer Lying,Sleep or Awake?
6/13/2020,11:40 PM,1982,1200,1921,3010,14,0,0,0,60,0,0,W
6/13/2020,11:41 PM,28,68,101,125,3,0,0,0,0,60,0,W
6/13/2020,11:42 PM,691,107,274,751,6,0,0,0,60,0,0,W
6/13/2020,11:43 PM,365,152,381,549,6,0,0,28,0,23,9,W
6/13/2020,11:44 PM,27,0,35,44,3,0,0,0,0,60,0,W
6/13/2020,11:45 PM,549,332,219,678,9,0,0,0,60,0,0,W
6/13/2020,11:46 PM,385,163,415,589,11,0,0,1,8,51,0,W
6/13/2020,11:47 PM,228,212,178,359,3,0,0,0,0,60,0,W
6/13/2020,11:48 PM,935,460,543,1175,18,0,0,0,60,0,0,W
6/13/2020,11:49 PM,244,10,3,244,15,0,0,0,0,0,60,W
6/13/2020,11:50 PM,464,67,43,471,18,0,0,0,60,0,0,W
6/13/2020,11:51 PM,380,32,9,381,16,0,0,0,0,0,60,W
6/13/2020,11:52 PM,0,0,0,0,0,0,0,0,0,0,60,W
6/13/2020,11:53 PM,192,11,32,195,4,0,0,0,0,0,60,W
6/13/2020,11:54 PM,801,1028,587,1429,15,0,0,0,60,0,0,W
6/13/2020,11:55 PM,2142,2608,2807,4390,26,0,0,0,60,0,0,W
6/13/2020,11:56 PM,0,9,9,13,0,0,0,0,0,0,60,W
6/13/2020,11:57 PM,795,1127,384,1432,4,0,0,0,60,0,0,W
6/13/2020,11:58 PM,342,124,129,386,6,0,0,0,0,14,46,W
6/13/2020,11:59 PM,1999,1083,1034,2498,13,0,0,0,60,0,0,W
6/14/2020,12:00 AM,1127,1082,944,1825,11,0,0,0,60,0,0,W
6/14/2020,12:01 AM,2399,2745,2695,4534,34,0,0,0,60,0,0,W
6/14/2020,12:02 AM,311,457,240,603,6,0,0,3,0,1,56,W
6/14/2020,12:03 AM,489,845,379,1047,10,0,0,0,60,0,0,W
6/14/2020,12:04 AM,2314,2527,2467,4222,28,0,0,0,60,0,0,W
6/14/2020,12:05 AM,1338,1491,1810,2700,24,0,0,0,60,0,0,W
6/14/2020,12:06 AM,1,0,3,3,1,0,0,0,0,60,0,W
6/14/2020,12:07 AM,1834,1554,2621,3556,16,0,0,0,60,0,0,W
6/14/2020,12:08 AM,882,370,691,1180,10,0,0,0,60,0,0,W
6/14/2020,12:09 AM,714,422,475,956,4,0,0,0,60,0,0,W
6/14/2020,12:10 AM,1,0,0,1,1,0,0,0,0,60,0,W
6/14/2020,12:11 AM,1005,991,1315,1929,14,0,0,0,60,0,0,W
6/14/2020,12:12 AM,1042,1474,1113,2121,29,0,0,0,60,0,0,W
6/14/2020,12:13 AM,1947,1896,1927,3332,17,0,0,0,60,0,0,W
6/14/2020,12:14 AM,338,286,343,560,7,0,0,50,0,10,0,W
6/14/2020,12:15 AM,0,0,0,0,0,0,0,60,0,0,0,W
6/14/2020,12:16 AM,0,1,0,1,0,0,0,60,0,0,0,W
