timestamp,raw_acc:magnitude_stats:mean,raw_acc:magnitude_stats:std,raw_acc:magnitude_stats:moment3,raw_acc:magnitude_stats:moment4,raw_acc:magnitude_stats:percentile25,raw_acc:magnitude_stats:percentile50,raw_acc:magnitude_stats:percentile75,raw_acc:magnitude_stats:value_entropy,raw_acc:magnitude_stats:time_entropy,raw_acc:magnitude_spectrum:log_energy_band0,raw_acc:magnitude_spectrum:log_energy_band1,raw_acc:magnitude_spectrum:log_energy_band2,raw_acc:magnitude_spectrum:log_energy_band3,raw_acc:magnitude_spectrum:log_energy_band4,raw_acc:magnitude_spectrum:spectral_entropy,raw_acc:magnitude_autocorrelation:period,raw_acc:magnitude_autocorrelation:normalized_ac,raw_acc:3d:mean_x,raw_acc:3d:mean_y,raw_acc:3d:mean_z,raw_acc:3d:std_x,raw_acc:3d:std_y,raw_acc:3d:std_z,raw_acc:3d:ro_xy,raw_acc:3d:ro_xz,raw_acc:3d:ro_yz,proc_gyro:magnitude_stats:mean,proc_gyro:magnitude_stats:std,proc_gyro:magnitude_stats:moment3,proc_gyro:magnitude_stats:moment4,proc_gyro:magnitude_stats:percentile25,proc_gyro:magnitude_stats:percentile50,proc_gyro:magnitude_stats:percentile75,proc_gyro:magnitude_stats:value_entropy,proc_gyro:magnitude_stats:time_entropy,proc_gyro:magnitude_spectrum:log_energy_band0,proc_gyro:magnitude_spectrum:log_energy_band1,proc_gyro:magnitude_spectrum:log_energy_band2,proc_gyro:magnitude_spectrum:log_energy_band3,proc_gyro:magnitude_spectrum:log_energy_band4,proc_gyro:magnitude_spectrum:spectral_entropy,proc_gyro:magnitude_autocorrelation:period,proc_gyro:magnitude_autocorrelation:normalized_ac,proc_gyro:3d:mean_x,proc_gyro:3d:mean_y,proc_gyro:3d:mean_z,proc_gyro:3d:std_x,proc_gyro:3d:std_y,proc_gyro:3d:std_z,proc_gyro:3d:ro_xy,proc_gyro:3d:ro_xz,proc_gyro:3d:ro_yz,location:num_valid_updates,location:log_latitude_range,location:log_longitude_range,location:min_speed,location:max_speed,location:best_horizontal_accuracy,location:diameter,location:log_diameter,location_quick_features:std_lat,location_quick_features:std_long,location_quick_features:lat_change,location_quick_features:long_change,location_quick_features:mean_abs_lat_deriv,location_quick_features:mean_abs_long_deriv,audio_naive:mfcc0:mean,audio_naive:mfcc1:mean,audio_naive:mfcc2:mean,audio_naive:mfcc3:mean,audio_naive:mfcc4:mean,audio_naive:mfcc5:mean,audio_naive:mfcc6:mean,audio_naive:mfcc7:mean,audio_naive:mfcc8:mean,audio_naive:mfcc9:mean,audio_naive:mfcc10:mean,audio_naive:mfcc11:mean,audio_naive:mfcc12:mean,audio_naive:mfcc0:std,audio_naive:mfcc1:std,audio_naive:mfcc2:std,audio_naive:mfcc3:std,audio_naive:mfcc4:std,audio_naive:mfcc5:std,audio_naive:mfcc6:std,audio_naive:mfcc7:std,audio_naive:mfcc8:std,audio_naive:mfcc9:std,audio_naive:mfcc10:std,audio_naive:mfcc11:std,audio_naive:mfcc12:std,discrete:app_state:is_active,discrete:app_state:is_inactive,discrete:app_state:is_background,discrete:app_state:missing,discrete:battery_plugged:is_ac,discrete:battery_plugged:is_usb,discrete:battery_plugged:is_wireless,discrete:battery_plugged:missing,discrete:battery_state:is_unknown,discrete:battery_state:is_unplugged,discrete:battery_state:is_not_charging,discrete:battery_state:is_discharging,discrete:battery_state:is_charging,discrete:battery_state:is_full,discrete:battery_state:missing,discrete:on_the_phone:is_False,discrete:on_the_phone:is_True,discrete:on_the_phone:missing,discrete:ringer_mode:is_normal,discrete:ringer_mode:is_silent_no_vibrate,discrete:ringer_mode:is_silent_with_vibrate,discrete:ringer_mode:missing,discrete:wifi_status:is_not_reachable,discrete:wifi_status:is_reachable_via_wifi,discrete:wifi_status:is_reachable_via_wwan,discrete:wifi_status:missing,lf_measurements:light,lf_measurements:pressure,lf_measurements:proximity_cm,lf_measurements:battery_level,discrete:time_of_day:between0and6,discrete:time_of_day:between3and9,discrete:time_of_day:between6and12,discrete:time_of_day:between9and15,discrete:time_of_day:between12and18,discrete:time_of_day:between15and21,discrete:time_of_day:between18and24,discrete:time_of_day:between21and3
1606110887,1.012818,0.13073800000000002,0.248665,0.422638,0.985399,1.009927,1.035644,0.9308629999999999,6.677522,5.040875,1.280087,1.590086,0.857299,2.4290849999999997,0.611045,2.303531,0.07447100000000001,0.49608599999999997,0.161302,0.21937600000000002,0.357099,0.19356099999999998,0.746768,0.439493,-0.9208149999999999,-0.627684,0.353009,0.35675300000000004,0.400877,0.547179,0.078681,0.177963,0.586182,2.0716419999999998,6.220606,5.194772,3.78241,4.438021,2.936906,4.359952,1.756398,1.207052,0.012327,0.073648,0.078721,0.11385899999999999,0.288864,0.287097,0.247864,0.08350199999999999,0.12648800000000002,0.11710599999999999,1.0,,,0.094448,0.094448,11.49,0.0,-6.907755,0.0,0.0,0.0,0.0,0.0,0.0,1.912734,-1.0177120000000002,1.154968,0.068698,0.553369,0.056464,0.42321499999999995,-0.02089,0.212714,-0.077535,0.142603,-0.097064,0.077363,2.891336,0.70909,0.511865,0.27265700000000004,0.294925,0.161221,0.14110999999999999,0.13916099999999998,0.136219,0.129602,0.120683,0.098195,0.084375,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.60944,,100.0,0.84,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1606110945,0.9942610000000001,0.00346,-0.000958,0.004866,0.992042,0.994175,0.996508,2.316555,6.684606,5.043551,2.8999999999999997e-05,0.000202,0.000305,0.00527,0.42973,0.066295,0.12862300000000002,0.062931,0.04677,0.991157,0.002727,0.002836,0.00344,0.022824,0.04777,0.120102,0.003882,0.001315,0.000779,0.0017280000000000002,0.003013,0.003841,0.004674,2.5148029999999997,6.6248130000000005,4.941981,0.642883,1.383931,1.9228779999999999,3.887975,0.931293,1.2727629999999999,0.08594199999999999,0.002935,-0.0009519999999999999,-0.001152,0.001535,0.001546,0.001098,-0.26729899999999995,0.111981,-0.11878699999999999,2.0,0.0,0.0,,,12.266,0.0,-6.907755,0.0,0.0,0.0,0.0,0.0,0.0,-0.642757,-0.985935,1.705925,0.116025,0.750254,-0.002173,0.39871799999999996,-0.047221,0.24091700000000002,-0.067744,0.136784,-0.08189,0.047692,0.600416,0.18494000000000002,0.123928,0.120902,0.133378,0.11998800000000001,0.106431,0.08106100000000001,0.071632,0.070963,0.07349800000000001,0.080349,0.06885,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,4.158883,,100.0,0.84,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1606111005,0.993655,0.003268,0.001611,0.004229999999999999,0.9913799999999999,0.9934950000000001,0.995868,2.658809,6.684606,5.043108,0.00027,0.000281,0.000424,0.004914,0.429613,0.32398699999999997,0.098113,0.06298200000000001,0.046931,0.99054,0.002431,0.002611,0.003266,-0.032855,0.02094,0.029226,0.003692,0.0013210000000000001,0.001032,0.001836,0.0026089999999999998,0.0035329999999999997,0.004520000000000001,2.4677290000000003,6.618949000000001,4.957003,0.560578,1.0105979999999999,1.6710619999999998,4.0950050000000005,1.002527,1.779677,0.097868,0.00279,-0.000732,-0.0010119999999999999,0.001493,0.001544,0.001193,-0.258983,0.117257,-0.16131600000000001,1.0,,,,,12.847,0.0,-6.907755,0.0,0.0,0.0,0.0,0.0,0.0,0.733924,-1.088025,1.707084,0.16400599999999999,0.796558,0.050341000000000004,0.440086,-0.018431,0.265104,-0.042688,0.148427,-0.082774,0.054565999999999996,0.426937,0.175271,0.10884400000000001,0.108473,0.129717,0.12194100000000001,0.093351,0.079801,0.075036,0.080223,0.082586,0.078302,0.075235,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,4.158883,,100.0,0.84,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1606111096,0.9933770000000001,0.003005,0.001266,0.003973,0.991359,0.993392,0.995296,2.5211799999999998,6.684607000000001,5.043162000000001,0.000113,0.000241,0.00028199999999999997,0.004453,0.429613,2.265539,0.101923,0.069474,0.054853,0.989418,0.002382,0.002752,0.003015,-0.001738,-0.017153,-0.018862,0.0037799999999999995,0.001562,0.001185,0.0021219999999999998,0.0026089999999999998,0.0035329999999999997,0.004764,2.461838,6.59478,4.877405,0.3553,1.6046799999999999,2.31011,4.238773,1.094717,0.262932,0.169535,0.00296,-0.000824,-0.000906,0.0017829999999999999,0.001366,0.001191,-0.218293,-0.032359,0.023405000000000002,1.0,,,,,13.29,0.0,-6.907755,0.0,0.0,0.0,0.0,0.0,0.0,-1.1812129999999998,-1.188394,1.6389669999999998,0.16178299999999998,0.857461,0.133986,0.516271,0.039076,0.283132,-0.046669999999999996,0.12300499999999999,-0.106874,0.039695,0.673366,0.147564,0.1021,0.101878,0.09607,0.089494,0.083694,0.08142200000000001,0.07421,0.07603,0.07785299999999999,0.076735,0.073783,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,4.143135,,100.0,0.84,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1606111125,0.993137,0.0034130000000000002,0.001829,0.004576,0.990764,0.9930469999999999,0.9952709999999999,2.480465,6.684606,5.043383,5.6000000000000006e-05,0.000198,0.00032,0.006476000000000001,0.429705,0.319474,0.095921,0.069005,0.054304,0.989238,0.0028510000000000002,0.0032840000000000005,0.0033950000000000004,0.013068000000000001,-0.038264,0.15572,0.004132,0.002107,0.0025670000000000003,0.0036030000000000003,0.0026089999999999998,0.003841,0.004882,2.2450930000000002,6.570136,4.760224,0.902697,1.099417,2.570259,4.198869999999999,1.052632,0.421383,0.15811,0.0032479999999999996,-0.0009199999999999999,-0.0008759999999999999,0.002287,0.001689,0.001123,-0.39148299999999997,-0.034206,0.028155,2.0,0.0,0.0,,,12.831,0.0,-6.907755,0.0,0.0,0.0,0.0,0.0,0.0,5.57434,-1.11068,1.6599439999999999,0.17885,0.851801,0.10376099999999999,0.48104300000000005,0.023091999999999998,0.279073,-0.06465800000000001,0.11857899999999999,-0.10895,0.033806,0.318821,0.162608,0.09133,0.093106,0.09658,0.09717999999999999,0.089383,0.07927000000000001,0.071983,0.079618,0.072413,0.06524500000000001,0.064179,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,4.143135,,100.0,0.84,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1606111218,0.9935510000000001,0.007390000000000001,0.002396,0.013743,0.9904200000000001,0.993569,0.99661,1.6697549999999999,6.684584,5.043205,0.000308,0.006684999999999999,0.002925,0.054553,0.430565,0.281647,0.21278200000000003,0.06801499999999999,0.05185,0.989713,0.011918999999999999,0.012445,0.007418000000000001,0.081602,-0.190665,0.207988,0.016416,0.029293,0.04264,0.055027,0.0033689999999999996,0.005432,0.012098999999999999,1.359121,5.799568,4.6919059999999995,4.08268,4.416949,3.505832,3.86312,1.6580380000000001,2.0821549999999998,0.004914,0.006658,-0.0040030000000000005,-0.00274,0.023540000000000002,0.02019,0.009895999999999999,-0.812381,-0.718337,0.7909109999999999,1.0,,,,,16.909,0.0,-6.907755,0.0,0.0,0.0,0.0,0.0,0.0,6.879834,-0.925869,1.403377,0.11021800000000001,0.798659,0.04257,0.420167,0.021516,0.27067800000000003,-0.079894,0.081114,-0.116559,0.06352100000000001,1.616719,0.274719,0.351,0.14252,0.150256,0.126884,0.138999,0.100478,0.093622,0.082589,0.110668,0.08734,0.08237799999999999,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,4.189655,,100.0,0.84,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1606111288,0.993692,0.009354000000000001,0.005077,0.017218,0.989635,0.993348,0.996714,1.7442950000000002,6.6845669999999995,5.044137,0.0009449999999999999,0.00547,0.011243000000000001,0.080838,0.431335,0.315907,0.182806,0.069526,0.039674,0.9902610000000001,0.015341999999999998,0.01296,0.009142,0.7228479999999999,0.022869999999999998,0.058298,0.042262,0.056475,0.07509400000000001,0.098709,0.006986,0.021238999999999997,0.046377,1.7246990000000002,6.036557,5.225055,3.980385,4.279247,3.778142,4.005383999999999,1.7633599999999998,0.0,0.0,0.001975,0.000688,0.001224,0.039101,0.052339,0.026482,-0.861667,-0.782682,0.800762,1.0,,,,,12.374,0.0,-6.907755,0.0,0.0,0.0,0.0,0.0,0.0,0.325869,-0.828566,1.5519610000000001,0.07291,0.743224,0.021147,0.389783,-0.067731,0.199419,-0.091866,0.13206600000000002,-0.07020499999999999,0.062327,1.1844780000000001,0.288748,0.26559699999999997,0.195787,0.165957,0.11795499999999999,0.110457,0.097675,0.08742,0.089027,0.086772,0.081206,0.080974,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,4.189655,,100.0,0.84,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1606111306,0.9932280000000001,0.003757,0.0017050000000000001,0.005424,0.990807,0.993208,0.9953930000000001,2.089547,6.684605,5.043361,6.2e-05,0.000177,0.000524,0.009701000000000001,0.429759,2.144876,0.09722,0.069493,0.039534,0.9899959999999999,0.002879,0.002898,0.003752,0.046749,0.039784,0.010790000000000001,0.0040950000000000005,0.002552,0.0039369999999999995,0.005594,0.0026089999999999998,0.0035329999999999997,0.004644,1.775526,6.542206,4.852894,0.93789,2.497953,2.324802,4.098428,1.0780020000000001,0.826326,0.046529,0.002611,-0.000892,-0.0008179999999999999,0.002053,0.003047,0.001224,-0.28588800000000003,-0.081808,0.21548,1.0,,,0.042658999999999996,0.042658999999999996,11.564,0.0,-6.907755,0.0,0.0,0.0,0.0,0.0,0.0,2.830482,-0.826312,1.1348280000000002,-0.04211,0.751704,0.062894,0.566125,-0.064096,0.18270799999999998,0.049961,0.111697,-0.13597,0.090166,1.4121219999999999,0.253771,0.7518819999999999,0.330549,0.166163,0.145938,0.268527,0.121701,0.11686300000000001,0.160212,0.098347,0.131223,0.099858,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,4.189655,,100.0,0.84,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1606111396,0.993476,0.003972,0.001948,0.005487,0.9910040000000001,0.9934270000000001,0.995965,2.351706,6.684603999999999,5.043494,4e-05,0.00044,0.000478,0.007571,0.429759,0.055265999999999996,0.12719,0.07207000000000001,0.040416,0.990027,0.00263,0.002763,0.00398,0.07374,-0.010786,0.000674,0.003908,0.002104,0.0043170000000000005,0.007476000000000001,0.0026089999999999998,0.0036899999999999997,0.004764,1.165857,6.581684,4.910287,1.2937,1.8687599999999998,2.7061919999999997,4.142256,1.114296,1.982609,0.085684,0.002886,-0.0007379999999999999,-0.0008939999999999999,0.0016899999999999999,0.0018969999999999998,0.0018920000000000002,-0.25461999999999996,0.11253099999999999,-0.130341,1.0,,,,,14.051,0.0,-6.907755,0.0,0.0,0.0,0.0,0.0,0.0,5.099034,-0.963709,1.2259719999999998,0.079884,0.790656,0.071247,0.642061,0.041604,0.262261,0.035741,0.066106,-0.14036300000000002,0.087074,1.7298349999999998,0.308425,0.853332,0.283877,0.189789,0.148465,0.262284,0.12576800000000002,0.08354500000000001,0.194268,0.153798,0.114297,0.11200399999999999,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,4.127135,,100.0,0.84,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1606111486,0.995014,0.027964999999999997,0.026637,0.051437000000000004,0.9842879999999999,0.9936229999999999,1.0040879999999999,1.7545380000000002,6.684219000000001,5.0442160000000005,0.006334,0.008346,0.025693,0.425252,0.437283,1.878168,0.14661400000000002,0.055127999999999996,0.027179000000000002,0.9911110000000001,0.05516,0.02982,0.028699000000000002,0.5835640000000001,-0.35339499999999996,-0.12926700000000002,0.024231,0.023086000000000002,0.031067,0.040954000000000004,0.010706,0.016861,0.028002999999999997,1.971143,6.347964,5.109333,2.916471,4.937858,2.7573689999999997,4.4661040000000005,2.0431150000000002,0.482292,0.19101400000000002,0.0003,0.003001,0.00122,0.021743000000000002,0.024419999999999997,0.0063560000000000005,-0.5734520000000001,-0.11188699999999999,0.26705999999999996,1.0,,,,,14.014,0.0,-6.907755,0.0,0.0,0.0,0.0,0.0,0.0,1.0576370000000002,-0.54519,1.196117,-0.005212,0.6516850000000001,-0.038225,0.381961,-0.003971,0.24789499999999998,-0.08881499999999999,0.129274,-0.089304,0.076498,1.218045,0.37538,0.410554,0.21139000000000002,0.168749,0.129828,0.124463,0.117993,0.099151,0.097231,0.09083200000000001,0.086372,0.080449,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,4.174387,,100.0,0.84,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
